2.35,1.45
3.55,1.8
3,2.9
2.65,4.2
2.95,5.15
3.7,5.4
4.8,5.55
5.3,5.25
5.7,5.25
5.8,5.85
5.8,6.9
5.8,7.9
5.4,8.7
4.75,9.9
4,10.6
4.05,11.9
4.5,12.2
5.4,12.7
6.05,12.75
6.8,12.4
8,12.6
8.85,12.75
9.7,12.9
9.75,13.85
9.75,15.2
9.9,16.75
9.9,18.05
10,19.25
10,20.25
10,21.15
10,21.65
10,22.55
10.05,23.8
10.65,24.5
11.15,24.55
11.6,24.85
12.1,25.4
13.3,25.85
14.25,26.15
15.45,26.45
16.7,26.5
17.7,26.55
19.2,26.55
19.95,26.6
20.45,26.45
20.2,25.85
20.2,25.2
20.35,24.7
20.75,23.95
21.4,23.3
21.8,22.95
22.25,22.6
22.35,22.15
22.2,21.75
21.4,21.5
20.35,21.45
19.6,21.3
18.9,21
18.4,20.55
18.4,19.9
19.3,19.3
19.85,19.3
20.7,19.3
21.15,19.3
21.7,19.3
22.55,19.3
23.55,19.3
24.2,19.3
24.9,19.3
25.7,19.3
26.05,19.8
26.45,20.45
27,21
27.6,21.4
28.4,21.55
29.25,21.55
30.05,21.55
30.25,20.95
30.25,20.4
30.5,19.85
30.8,19.1
30.95,18.7
31.25,18.3
31.45,17.6
31.75,17.25
32.35,16.75
32.35,16.75
32.85,16
33.5,15.65
33.5,15.65
33.75,15.45
34.3,15.25
35,15.15
35.55,14.95
36.05,14.55
37.05,15.1
37.85,15.5
38.5,15.25
38.95,15.15
39,14.75
38.6,13.95
38,13.35
37.45,12.95
36.7,12.45
35.8,11.95
34.75,11.45
34.1,11.2
33.35,10.95
32.3,10.5
31.45,10.35
30.5,9.95
30.05,9.35
29.9,8.6
30.7,8.3
31.6,8.15
32.2,8
32.9,7.75
33.45,7.15
34.1,6.7
34.6,6.45
35.4,6.1
36.15,5.6
37.05,5.35
37.65,5.15
38.55,5
39.15,5.35
39.35,5.9
39.75,6.4
40.55,6.9
41.2,7.9
41.3,8.85
41.3,9.8
41.3,10.75
40.7,11.95
40,12.6
39.4,13.1
38.85,13.5
37.9,14.45
37.5,14.75
36.55,15.65
35.8,16.45
35.2,17.05
34.2,17.75
33.35,18.15
32.4,18.55
31.65,18.95
29.95,19.4
28.7,20.3
28.6,21.1
28.5,22.35
29.25,23.1
30.1,23.25
31.4,23.35
32.45,23.35
33.4,23.35
34.4,23.35
35.6,23.35
36.75,23.6
37.5,23.4
38.4,23.35
39.25,23.35
40.4,23.35
41.65,23.35
41.15,23.5
42.65,23.35
43.45,23.75
43.55,24.5
43.5,25.55
43.5,26.1
44.2,26.05
45.35,25.45
45.35,24.85
45.4,24.2
45.55,23.4
45.55,22.45
45.55,21.7
45.55,21
45.7,20.3
45.7,19.6
45.7,18.5
45.7,17.75
45.75,17
45.8,16.15
45.8,15.25
45.85,14.6
45.9,13.9
45.55,13.05
45,12.45
44.3,11.95
43.9,11.9
43.2,11.7
42,11.45
41.1,11.4
40.55,11.1
40.4,10.45
40.3,9.8
40.6,9.25
41.85,8.5
42.55,8.3
43.25,7.9
44.15,7.4
44.9,7
45.8,6.35
46.45,5.9
47.3,5.25
